CustomerID,AccountNumber,CustomerType,SalesTerritoryGroup,SalesTerritory,AddressLine1,City,PostalCode
203,AW00000203,S,North America,Southwest,440 West Huntington Dr.,Monrovia,91016
204,AW00000204,S,North America,Southwest,99235 Hawthorne Blvd.,Torrance,90505
205,AW00000205,S,North America,Southwest,870 N. 54th Ave.,Chandler,85225
206,AW00000206,S,North America,Southeast,3990 Silas Creek Parkway,Winston-Salem,27104
207,AW00000207,S,North America,Southeast,956k North Wesleyan Blvd.,Rocky Mount,27803
208,AW00000208,S,North America,Canada,2545 King Street West,Toronto,M4B 1V7
209,AW00000209,S,North America,Canada,2550 Middlefield Road,Scarborough,M1V 4M2
210,AW00000210,S,North America,Canada,25 First Canadian Place,Toronto,M4B 1V5
211,AW00000211,S,Europe,France,"98, rue de Terre Neuve",Lieusaint,77127
212,AW00000212,S,Europe,Germany,Kurfürstenstr 574,München,80074
213,AW00000213,S,Pacific,Australia,Level 100,South Melbourne,3205
214,AW00000214,S,Europe,United Kingdom,"Butterfield Hse, 7-251 Chapel St",Lancaster,LA1 1LN
215,AW00000215,S,North America,Northeast,25850 Post Road,Westport,06880
216,AW00000216,S,North America,Northeast,9975 Union St.,Waterbury,06710
217,AW00000217,S,North America,Northwest,3025 E Waterway Blvd,Shelton,98584
218,AW00000218,S,North America,Northwest,7990 Ocean Beach Hwy.,Longview,98632
219,AW00000219,S,North America,Central,625 W Jackson Blvd. Unit 2502,Chicago,60610
220,AW00000220,S,North America,Central,250880 Baur Blvd,Saint Louis,63103
221,AW00000221,S,North America,Southwest,9952 E. Lohman Ave.,Las Cruces,88001
222,AW00000222,S,North America,Central,2000 300th Street,Denver,80203
223,AW00000223,S,North America,Central,955 E. County Line Rd.,Englewood,80110
224,AW00000224,S,North America,Southeast,656 Cox Creek Pkwy.,Florence,35630
225,AW00000225,S,North America,Southeast,25050 S. Columbia Ave,Campbellsville,42718
226,AW00000226,S,North America,Canada,65 Gamelin Street,Hull,8Y
227,AW00000227,S,North America,Canada,2500 University Avenue,Toronto,M4B 1V5
228,AW00000228,S,North America,Canada,955 Green Valley Crescent,Ottawa,K4B 1S1
229,AW00000229,S,Europe,France,"21801, rue Léo Delibes",Colombes,92700
230,AW00000230,S,Europe,Germany,Königsteiner Straße 9,Bad Soden,65800
231,AW00000231,S,Pacific,Australia,Rosebery,Lavender Bay,2060
232,AW00000232,S,Europe,United Kingdom,Wade Road,Basingstoke Hants,RG24 8PL
233,AW00000233,S,North America,Northeast,7505 Commercial Dr.,New Hartford,13413
234,AW00000234,S,North America,Northeast,89950 Castleton Corner,Indianapolis,46204
235,AW00000235,S,North America,Northwest,2345 West Spencer Road,Lynnwood,98036
236,AW00000236,S,North America,Northwest,1050 Oak Street,Seattle,98104
237,AW00000237,S,North America,Central,Noah Lane,Chicago,60610
238,AW00000238,S,North America,Central,6030 Robinson Road,Jefferson City,65101
239,AW00000239,S,North America,Southwest,409 Santa Monica Blvd.,Santa Monica,90401
240,AW00000240,S,North America,Southwest,Mall Of Orange,Orange,92867
241,AW00000241,S,North America,Southwest,Topanga Plaza,Canoga Park,91303
242,AW00000242,S,North America,Southeast,2545 N.W. 107th Ave.,Miami,33127
243,AW00000243,S,North America,Southeast,8789 S.W. 2517 Ave.,Kendall,33143
244,AW00000244,S,North America,Canada,2510 Crew Court,Montreal,H1Y 2H8
245,AW00000245,S,North America,Canada,"9900-6400 Boul, Taschereau",Brossard,J4Z 1R4
246,AW00000246,S,North America,Canada,600 Boul. Rene-levesque Ouest,Montreal,H1Y 2H7
247,AW00000247,S,Europe,France,"2111, rue de Linois",Orly,94310
248,AW00000248,S,Europe,Germany,Werftstr 4400,Sulzbach Taunus,66272
249,AW00000249,S,Pacific,Australia,Licensing Account,Seaford,3198
250,AW00000250,S,Europe,United Kingdom,"586 Fulham Road,",London,SW6 SBY
251,AW00000251,S,North America,Northeast,99200 Dixwell Ave.,Hamden,06518
252,AW00000252,S,North America,Northeast,630 Oldgate Lane,Milford,06460
253,AW00000253,S,North America,Northwest,4927 S Meridian Ave Ste D,Puyallup,98371
254,AW00000254,S,North America,Northwest,25915 140th Ave Ne,Bellevue,98004
255,AW00000255,S,North America,Southwest,25500 Old Spanish Trail,Houston,77003
256,AW00000256,S,North America,Southwest,"99828 Routh Street, Suite 825",Dallas,75201
257,AW00000257,S,North America,Southwest,Escondido,Escondido,92025
258,AW00000258,S,North America,Southwest,Natomas Marketplace,Sacramento,95814
259,AW00000259,S,North America,Southwest,Simi @ The Plaza,Simi Valley,93065
260,AW00000260,S,North America,Southeast,825 Coral Way,Miami,33127
261,AW00000261,S,North America,Southeast,650 E Altamonte Dr,Altamonte Springs,32701
262,AW00000262,S,North America,Canada,9259 - 1110th Avenue Sw,Calgary,T2P 2G8
263,AW00000263,S,North America,Canada,45259 Canada Way,Burnaby,V5G 4S4
264,AW00000264,S,North America,Canada,9960 King Street E.,Toronto,M4B 1V5
265,AW00000265,S,Europe,France,"39, route de Marseille",Paris,75016
266,AW00000266,S,Europe,Germany,Hans-Rosenthal-Platz 4223,Grevenbroich,41485
267,AW00000267,S,Pacific,Australia,Level 99,Melbourne,3000
268,AW00000268,S,Europe,United Kingdom,Knaves Beech Ind.,High Wycombe,HP10 9QY
269,AW00000269,S,North America,Northeast,25264 E. 260th,Euclid,44119
270,AW00000270,S,North America,Northeast,225200 Miles Ave.,North Randall,44128
271,AW00000271,S,North America,Northwest,3307 Evergreen Blvd,Washougal,98671
272,AW00000272,S,North America,Northwest,2507 Pacific Ave S,Tacoma,98403
273,AW00000273,S,North America,Southwest,"One Dancing, Rr No. 25",Round Rock,78664
274,AW00000274,S,North America,Central,9995 West Central Entrance,Duluth,55802
275,AW00000275,S,North America,Southwest,Lakewood Mall,Lakewood,90712
276,AW00000276,S,North America,Southwest,Oxnard Outlet,Oxnard,93030
277,AW00000277,S,North America,Southwest,Vista Marketplace,Alhambra,91801
278,AW00000278,S,North America,Southeast,9707 Coldwater Drive,Orlando,32804
279,AW00000279,S,North America,Southeast,770 South Point Dr,Memphis,38103
280,AW00000280,S,North America,Canada,9979 Bayview Drive,Barrie,L4N
281,AW00000281,S,North America,Canada,20225 Lansing Ave,Montreal,H1Y 2H7
282,AW00000282,S,North America,Canada,"99954 Boul. Laurier, Local 060, Place",Sainte-Foy,G1W
283,AW00000283,S,Europe,France,"57, rue des Vendangeurs",Roissy en Brie,77680
284,AW00000284,S,Europe,Germany,Nonnendamm 63,Berlin,14197
285,AW00000285,S,Pacific,Australia,Ctrcrt Bus Pk/995-27 Paul St N,North Ryde,2113
286,AW00000286,S,Europe,United Kingdom,"Elmhurst Road, Goring",Reading,RG7 5H7
287,AW00000287,S,North America,Central,399700 John R. Rd.,Madison Heights,48071
288,AW00000288,S,North America,Central,6789 Warren Road,Westland,48185
289,AW00000289,S,North America,Northwest,67 Rainer Ave S,Renton,98055
290,AW00000290,S,North America,Northwest,750 Lakeway Dr,Bellingham,98225
291,AW00000291,S,North America,Southwest,48255 I-10 E. @ Eastpoint Blvd.,Baytown,77520
292,AW00000292,S,North America,Southwest,9903 Highway 6 South,Houston,77003
293,AW00000293,S,North America,Northwest,Sports Store At Park City,Park City,84098
294,AW00000294,S,North America,Southwest,North County Square,Vista,92084
295,AW00000295,S,North America,Southwest,123 Camelia Avenue,Oxnard,93030
296,AW00000296,S,North America,Southeast,7725 Luddington Lane,Birmingham,35203
297,AW00000297,S,North America,Southeast,790 Shelbyville Road,Saint Matthews,40207
298,AW00000298,S,North America,Canada,6th Floor 5250 Main Street,Winnipeg,R3
299,AW00000299,S,North America,Canada,Box 99354 300 Union Street,Saint John,E2P 1E3
300,AW00000300,S,North America,Canada,Suite 800 2530 Slater Street,Ottawa,K4B 1T7
301,AW00000301,S,Europe,France,"98, rue Montcalm",Paris,75019
302,AW00000302,S,Europe,Germany,Berliner Platz 45,Offenbach,63009
303,AW00000303,S,Pacific,Australia,2501 Miller Street,North Sydney,2055
304,AW00000304,S,Europe,United Kingdom,"New Millhouse, 2583 Milton Park",Abingdon,OX14 4SE
305,AW00000305,S,North America,Northeast,42500 South Franklin Street,Michigan City,46360
306,AW00000306,S,North America,Central,2533 Eureka Rd.,Southgate,48195
307,AW00000307,S,North America,Northwest,2528 Meridian E,Puyallup,98371
308,AW00000308,S,North America,Northwest,48995 Evergreen Wy.,Everett,98201
309,AW00000309,S,North America,Southwest,2345 North Freeway,Houston,77003
310,AW00000310,S,North America,Central,123 W. Lake Ave.,Peoria,61606
311,AW00000311,S,North America,Southwest,Mountain Square,Upland,91786
312,AW00000312,S,North America,Southwest,Fox Hills,Culver City,90232
313,AW00000313,S,North America,Southwest,Parkway Plaza,El Cajon,92020
314,AW00000314,S,North America,Southeast,4496 Barnes Crossing Rd.,Tupelo,38804
315,AW00000315,S,North America,Southeast,78025 E. Mercy Island Cswy,Merritt Island,32952
316,AW00000316,S,North America,Canada,Suite 500 995 W. 11th Avenue,Mississauga,L5A 1H6
317,AW00000317,S,North America,Canada,#9900 2700 Production Way,Burnaby,V5A 4X1
318,AW00000318,S,North America,Canada,25537 Hillside Avenue,Victoria,V8V
319,AW00000319,S,Europe,France,"3387, rue Marbeuf",Bobigny,93000
320,AW00000320,S,Europe,Germany,Brunnenstr 422,Frankfurt am Main,60082
321,AW00000321,S,Pacific,Australia,6 Lord Street,Matraville,2036
322,AW00000322,S,Europe,United Kingdom,Wymbush,Milton Keynes,MK8 8DF
323,AW00000323,S,North America,Central,250000 Eight Mile Road,Detroit,48226
324,AW00000324,S,North America,Northeast,6405 Erie Blvd. Hills Plaza,De Witt,13214
325,AW00000325,S,North America,Northwest,8713 Yosemite Ct.,Bothell,98011
326,AW00000326,S,North America,Northwest,2583 Se 272nd St,Kent,98031
327,AW00000327,S,North America,Central,660 Lindbergh,Saint Louis,63103
328,AW00000328,S,North America,Southwest,72540 Blanco Rd.,San Antonio,78204
329,AW00000329,S,North America,Southwest,Stonewood Mall,Downey,90241
330,AW00000330,S,North America,Southwest,Hanford Mall,Hanford,93230
331,AW00000331,S,North America,Southwest,Ontario Mills,Ontario,91764
332,AW00000332,S,North America,Southeast,574 Atlanta Highway,Montgomery,36104
333,AW00000333,S,North America,Southeast,5230a Hwy. 2553,Hixson,37343
334,AW00000334,S,North America,Canada,Suite 2502 410 Albert Street,Waterloo,N2V
335,AW00000335,S,North America,Canada,5700 Explorer Drive,Mississauga,L4W 5J3
336,AW00000336,S,North America,Canada,965 De La Gauchetiere West,Montreal,H1Y 2H8
337,AW00000337,S,Europe,France,"39, avenue des Laurentides",Paris La Defense,92081
338,AW00000338,S,Europe,Germany,Rotthäuser Weg 511,Stuttgart,70511
339,AW00000339,S,Pacific,Australia,Level 6,Matraville,2036
340,AW00000340,S,Europe,United Kingdom,Burgess Hill,West Sussex,RH15 9UD
341,AW00000341,S,North America,Northeast,Great Northern Mall Hwy4 & Rt. 31,Clay,13041
342,AW00000342,S,North America,Northeast,250 E. County Line Rd.,Indianapolis,46204
343,AW00000343,S,North America,Northwest,409 S. Main Ste. 25,Ellensburg,98926
344,AW00000344,S,North America,Northwest,2502 Evergreen Ste E,Everett,98201
345,AW00000345,S,North America,Southwest,99450 Highway 59 North,Humble,77338
346,AW00000346,S,North America,Central,455 256th St.,Moline,61265
347,AW00000347,S,North America,Southwest,Nut Tree Factory,Vacaville,95688
348,AW00000348,S,North America,Central,Rocky Mountain Pines Outlet,Loveland,80537
349,AW00000349,S,North America,Southwest,Stevens Creek Shopping Center,San Jose,95112
350,AW00000350,S,North America,Southeast,25800 Gallitin Rd.,Nashville,37203
351,AW00000351,S,North America,Southeast,830 Highway 499 So,Mcdonough,30253
352,AW00000352,S,North America,Canada,No. 25400 10665 Jasper Avenue,Edmonton,T5
353,AW00000353,S,North America,Canada,P.O. Box 44000,Winnipeg,R3
354,AW00000354,S,North America,Canada,Suite 99320 255 - 510th Avenue S.W.,Calgary,T2P 2G8
355,AW00000355,S,Europe,France,"3101, avenue de Malakoff",Paris,75003
356,AW00000356,S,Europe,Germany,Am Karlshof 8200,Hamburg,22001
357,AW00000357,S,Pacific,Australia,P.O. Box 990032,Findon,5023
358,AW00000358,S,Europe,United Kingdom,308-3250 Casting Road,York,Y024 1GF
359,AW00000359,S,North America,Northeast,6225 Glenway Ave.,Cincinnati,45202
